country;year;sex;suicides_no
Albania;1998;male;2
Albania;1998;female;1
Albania;1999;male;3
Albania;1999;male;24
Albania;1999;female;4
Albania;1999;male;31
Albania;1999;male;19
Albania;1999;male;14
Albania;1999;female;19
Albania;1999;female;13
Albania;1999;female;6
Albania;1999;female;5
Albania;1999;female;1
Albania;2000;male;17
Albania;2000;male;1
Albania;2000;female;2
Albania;2000;male;1
Albania;2000;female;6
Albania;2000;male;5
Albania;2000;female;5
Albania;2000;female;3
Albania;2000;male;4
Albania;2000;male;1
Albania;2001;male;22
Albania;2001;male;34
Albania;2001;male;11
Albania;2001;female;2
Albania;2001;male;1
Albania;2001;female;9
Albania;2001;female;12
Albania;2001;male;1
Albania;2001;female;6
Albania;2001;male;6
Albania;2001;female;4
Albania;2001;female;2
Albania;2002;male;4
Albania;2002;male;23
Albania;2002;male;35
Albania;2002;male;13
Albania;2002;male;15
Albania;2002;female;14
Albania;2002;female;15
Albania;2002;female;7
Albania;2002;female;1
Albania;2002;female;4
Albania;2002;female;1
Albania;2002;male;1
Albania;2003;female;6
Albania;2003;male;16
Albania;2003;male;28
Albania;2003;male;15
Albania;2003;female;14
Albania;2003;female;9
Albania;2003;male;9
Albania;2003;female;9
Albania;2003;female;13
Albania;2003;male;1
Albania;2003;male;4
Albania;2004;male;4
Albania;2004;male;39
Albania;2004;male;16
Albania;2004;female;2
Albania;2004;male;19
Albania;2004;female;3
Albania;2004;female;11
Albania;2004;male;1
Albania;2004;female;17
Albania;2004;female;3
Albania;2004;female;3
Albania;2004;male;1
Albania;2007;male;8
Albania;2007;male;29
Albania;2007;male;14
Albania;2007;female;3
Albania;2007;male;9
Albania;2007;female;13
Albania;2007;male;13
Albania;2007;female;8
Albania;2007;female;9
Albania;2007;female;14
Albania;2007;male;4
Albania;2008;male;21
Albania;2008;male;37
Albania;2008;male;21
Albania;2008;female;5
Albania;2008;female;2
Albania;2008;female;9
Albania;2008;female;19
Albania;2008;male;2
Albania;2008;male;11
Albania;2008;female;7
Albania;2008;male;7
Albania;2008;female;1
Albania;2010;male;2
Albania;2010;male;2
Albania;2010;male;9
Albania;2010;male;2
Albania;2010;male;1
Albania;2010;female;6
Albania;2010;female;2
Albania;2010;female;12
Albania;2010;female;7
Albania;2010;female;6
Albania;2010;female;2
Antigua and Barbuda;1990;male;1
Antigua and Barbuda;1993;male;1
Antigua and Barbuda;2000;male;1
Antigua and Barbuda;2000;male;1
Antigua and Barbuda;2001;male;2
Antigua and Barbuda;2003;male;1
Antigua and Barbuda;2004;male;1
Antigua and Barbuda;2004;male;1
Antigua and Barbuda;2007;male;1
Antigua and Barbuda;2015;female;1
Argentina;1985;male;22
Argentina;1985;male;485
Argentina;1985;male;414
Argentina;1985;female;21
Argentina;1985;male;177
Argentina;1985;female;41
Argentina;1985;male;156
Argentina;1985;female;142
Argentina;1985;female;65
Argentina;1985;female;69
Argentina;1985;male;16
Argentina;1985;female;11
Argentina;1986;male;23
Argentina;1986;male;53
Argentina;1986;male;478
Argentina;1986;male;29
Argentina;1986;female;48
Argentina;1986;female;21
Argentina;1986;male;186
Argentina;1986;female;188
Argentina;1986;female;96
Argentina;1986;female;11
Argentina;1986;male;1
Argentina;1986;female;7
Argentina;1987;male;2
Argentina;1987;male;532
Argentina;1987;male;482
Argentina;1987;female;57
Argentina;1987;female;224
Argentina;1987;male;192
Argentina;1987;male;179
Argentina;1987;female;29
Argentina;1987;female;89
Argentina;1987;female;93
Argentina;1987;male;15
Argentina;1987;female;14
Argentina;1988;male;216
Argentina;1988;male;55
Argentina;1988;male;477
Argentina;1988;female;61
Argentina;1988;female;233
Argentina;1988;male;215
Argentina;1988;male;211
Argentina;1988;female;198
Argentina;1988;female;11
Argentina;1988;female;61
Argentina;1988;male;2
Argentina;1988;female;11
Argentina;1989;male;28
Argentina;1989;male;548
Argentina;1989;male;462
Argentina;1989;female;65
Argentina;1989;male;219
Argentina;1989;female;21
Argentina;1989;male;186
Argentina;1989;female;166
Argentina;1989;female;83
Argentina;1989;female;8
Argentina;1989;male;18
Argentina;1989;female;11
Argentina;1990;male;226
Argentina;1990;male;52
Argentina;1990;male;439
Argentina;1990;female;61
Argentina;1990;male;182
Argentina;1990;female;19
Argentina;1990;male;174
Argentina;1990;female;163
Argentina;1990;female;91
Argentina;1990;female;76
Argentina;1990;male;22
Argentina;1990;female;14
Argentina;1991;male;184
Argentina;1991;male;449
Argentina;1991;male;398
Argentina;1991;male;214
Argentina;1991;female;5
Argentina;1991;female;169
Argentina;1991;male;179
Argentina;1991;female;133
Argentina;1991;female;77
Argentina;1991;female;61
Argentina;1991;male;28
Argentina;1991;female;9
Argentina;1992;male;194
Argentina;1992;male;5
Argentina;1992;male;488
Argentina;1992;male;227
Argentina;1992;male;249
Argentina;1992;female;46
Argentina;1992;female;147
Argentina;1992;female;14
Argentina;1992;female;79
Argentina;1992;female;79
Argentina;1992;male;22
Argentina;1992;female;13
Argentina;1993;male;229
Argentina;1993;male;52
Argentina;1993;male;495
Argentina;1993;male;233
Argentina;1993;female;58
Argentina;1993;male;235
Argentina;1993;female;126
Argentina;1993;female;144
Argentina;1993;female;76
Argentina;1993;female;73
Argentina;1993;male;25
Argentina;1993;female;16
Argentina;1994;male;192
Argentina;1994;male;59
Argentina;1994;male;527
Argentina;1994;male;226
Argentina;1994;male;25
Argentina;1994;female;135
Argentina;1994;female;34
Argentina;1994;female;16
Argentina;1994;female;98
Argentina;1994;female;72
Argentina;1994;male;27
Argentina;1994;female;11
Argentina;1995;male;19
Argentina;1995;male;515
Argentina;1995;male;485
Argentina;1995;male;218
Argentina;1995;male;277
Argentina;1995;female;49
Argentina;1995;female;134
Argentina;1995;female;139
Argentina;1995;female;11
Argentina;1995;female;62
Argentina;1995;female;19
Argentina;1995;male;15
Argentina;1996;male;189
Argentina;1996;male;464
Argentina;1996;male;524
Argentina;1996;male;226
Argentina;1996;male;28
Argentina;1996;female;59
Argentina;1996;female;131
Argentina;1996;female;176
Argentina;1996;female;15
Argentina;1996;female;52
Argentina;1996;male;14
Argentina;1996;female;9
Argentina;1997;male;195
Argentina;1997;male;457
Argentina;1997;male;51
Argentina;1997;male;213
Argentina;1997;male;26
Argentina;1997;female;47
Argentina;1997;female;131
Argentina;1997;female;165
Argentina;1997;female;113
Argentina;1997;female;72
Argentina;1997;male;19
Argentina;1997;female;11
Argentina;1998;male;21
Argentina;1998;male;518
Argentina;1998;male;58
Argentina;1998;male;327
Argentina;1998;male;251
Argentina;1998;female;53
Argentina;1998;female;14
Argentina;1998;female;114
Argentina;1998;female;147
Argentina;1998;female;52
Argentina;1998;female;2
Argentina;1998;male;16
Argentina;1999;male;24
Argentina;1999;male;54
Argentina;1999;male;545
Argentina;1999;male;355
Argentina;1999;male;265
Argentina;1999;female;137
Argentina;1999;female;44
Argentina;1999;female;141
Argentina;1999;female;11
Argentina;1999;female;5
Argentina;1999;male;21
Argentina;1999;female;2
Argentina;2000;male;232
Argentina;2000;male;62
Argentina;2000;male;578
Argentina;2000;male;463
Argentina;2000;male;331
Argentina;2000;female;133
Argentina;2000;female;43
Argentina;2000;female;174
Argentina;2000;female;116
Argentina;2000;female;63
Argentina;2000;female;21
Argentina;2000;male;18
Argentina;2001;male;25
Argentina;2001;male;659
Argentina;2001;male;518
Argentina;2001;male;625
Argentina;2001;male;375
Argentina;2001;female;57
Argentina;2001;female;166
Argentina;2001;female;137
Argentina;2001;female;21
Argentina;2001;female;82
Argentina;2001;male;29
Argentina;2001;female;24
Argentina;2002;male;234
Argentina;2002;male;615
Argentina;2002;male;542
Argentina;2002;male;412
Argentina;2002;male;619
Argentina;2002;female;179
Argentina;2002;female;58
Argentina;2002;female;158
Argentina;2002;female;194
Argentina;2002;female;91
Argentina;2002;male;37
Argentina;2002;female;23
Argentina;2003;male;272
Argentina;2003;male;577
Argentina;2003;male;638
Argentina;2003;male;456
Argentina;2003;male;625
Argentina;2003;female;68
Argentina;2003;female;179
Argentina;2003;female;147
Argentina;2003;female;196
Argentina;2003;female;69
Argentina;2003;male;37
Argentina;2003;female;25
Argentina;2004;male;227
Argentina;2004;male;5
Argentina;2004;male;653
Argentina;2004;male;445
Argentina;2004;male;599
Argentina;2004;female;159
Argentina;2004;female;136
Argentina;2004;female;5
Argentina;2004;female;185
Argentina;2004;female;99
Argentina;2004;male;43
Argentina;2004;female;25
Argentina;2005;male;225
Argentina;2005;male;489
Argentina;2005;male;638
Argentina;2005;male;451
Argentina;2005;male;539
Argentina;2005;female;161
Argentina;2005;female;59
Argentina;2005;female;148
Argentina;2005;female;171
Argentina;2005;female;14
Argentina;2005;male;52
Argentina;2005;female;21
Argentina;2006;male;246
Argentina;2006;male;656
Argentina;2006;male;487
Argentina;2006;male;483
Argentina;2006;male;585
Argentina;2006;female;175
Argentina;2006;female;115
Argentina;2006;female;16
Argentina;2006;female;15
Argentina;2006;female;31
Argentina;2006;male;39
Argentina;2006;female;26
Argentina;2007;male;225
Argentina;2007;male;577
Argentina;2007;male;438
Argentina;2007;male;49
Argentina;2007;male;571
Argentina;2007;female;146
Argentina;2007;female;126
Argentina;2007;female;18
Argentina;2007;female;155
Argentina;2007;female;31
Argentina;2007;male;45
Argentina;2007;female;34
Argentina;2008;male;28
Argentina;2008;male;625
Argentina;2008;male;463
Argentina;2008;male;531
Argentina;2008;male;582
Argentina;2008;female;18
Argentina;2008;female;173
Argentina;2008;female;18
Argentina;2008;female;36
Argentina;2008;female;94
Argentina;2008;male;39
Argentina;2008;female;2
Argentina;2009;male;177
Argentina;2009;male;69
Argentina;2009;male;434
Argentina;2009;male;54
Argentina;2009;male;542
Argentina;2009;female;164
Argentina;2009;female;112
Argentina;2009;female;15
Argentina;2009;female;15
Argentina;2009;female;25
Argentina;2009;male;34
Argentina;2009;female;28
Argentina;2010;male;26
Argentina;2010;male;683
Argentina;2010;male;485
Argentina;2010;male;397
Argentina;2010;male;573
Argentina;2010;female;15
Argentina;2010;female;162
Argentina;2010;female;11
Argentina;2010;female;99
Argentina;2010;female;34
Argentina;2010;male;33
Argentina;2010;female;2
Argentina;2011;male;178
Argentina;2011;male;693
Argentina;2011;male;51
Argentina;2011;male;416
Argentina;2011;male;54
Argentina;2011;female;172
Argentina;2011;female;157
Argentina;2011;female;12
Argentina;2011;female;93
Argentina;2011;female;3
Argentina;2011;female;29
Argentina;2011;male;28
Argentina;2012;male;225
Argentina;2012;male;745
Argentina;2012;male;616
Argentina;2012;male;451
Argentina;2012;male;554
Argentina;2012;female;24
Argentina;2012;female;164
Argentina;2012;female;18
Argentina;2012;female;12
Argentina;2012;female;33
Argentina;2012;male;29
Argentina;2012;female;17
Argentina;2013;male;168
Argentina;2013;male;696
Argentina;2013;male;499
Argentina;2013;male;398
Argentina;2013;male;64
Argentina;2013;female;167
Argentina;2013;female;12
Argentina;2013;female;157
Argentina;2013;female;12
Argentina;2013;female;29
Argentina;2013;female;32
Argentina;2013;male;33
Argentina;2014;male;192
Argentina;2014;male;738
Argentina;2014;male;531
Argentina;2014;male;45
Argentina;2014;male;644
Argentina;2014;female;24
Argentina;2014;female;196
Argentina;2014;female;118
Argentina;2014;female;19
Argentina;2014;female;25
Argentina;2014;female;35
Argentina;2014;male;34
Argentina;2015;male;245
Argentina;2015;male;656
Argentina;2015;male;431
Argentina;2015;male;465
Argentina;2015;male;633
Argentina;2015;female;153
Argentina;2015;female;125
Argentina;2015;female;114
Argentina;2015;female;166
Argentina;2015;female;27
Argentina;2015;male;39
Argentina;2015;female;19
Armenia;1990;male;25
Armenia;1990;male;2
Armenia;1990;male;11
Armenia;1990;male;16
Armenia;1990;female;15
Armenia;1990;male;1
Armenia;1990;female;6
Armenia;1990;female;1
Armenia;1990;female;4
Armenia;1990;female;3
Armenia;1991;male;5
Armenia;1991;male;2
Armenia;1991;female;11
Armenia;1991;male;9
Armenia;1991;male;14
Armenia;1991;female;2
Armenia;1991;female;9
Armenia;1991;male;6
Armenia;1991;female;4
Armenia;1992;male;3
Armenia;1992;male;15
Armenia;1992;male;22
Armenia;1992;male;15
Armenia;1992;female;1
Armenia;1992;female;2
Armenia;1992;male;9
Armenia;1992;female;6
Armenia;1992;female;1
Armenia;1993;female;6
Armenia;1993;male;2
Armenia;1993;male;2
Armenia;1993;male;25
Armenia;1993;male;17
Armenia;1993;female;14
Armenia;1993;male;7
Armenia;1993;female;6
Armenia;1993;female;6
Armenia;1993;female;3
Armenia;1994;male;7
Armenia;1994;female;5
Armenia;1994;male;2
Armenia;1994;male;31
Armenia;1994;female;18
Armenia;1994;male;1
Armenia;1994;male;6
Armenia;1994;female;7
Armenia;1994;female;4
Armenia;1994;male;2
Armenia;1994;female;1
Armenia;1994;female;1
Armenia;1995;male;29
Armenia;1995;male;32
Armenia;1995;male;21
Armenia;1995;male;2
Armenia;1995;female;2
Armenia;1995;female;11
Armenia;1995;female;11
Armenia;1995;male;1
Armenia;1995;female;8
Armenia;1995;female;3
Armenia;1995;male;1
Armenia;1996;male;3
Armenia;1996;male;18
Armenia;1996;male;24
Armenia;1996;male;13
Armenia;1996;female;12
Armenia;1996;female;7
Armenia;1996;male;4
Armenia;1996;female;3
Armenia;1996;female;1
Armenia;1996;female;1
Armenia;1996;male;1
Armenia;1997;male;21
Armenia;1997;male;26
Armenia;1997;female;3
Armenia;1997;male;1
Armenia;1997;male;9
Armenia;1997;female;8
Armenia;1997;male;4
Armenia;1997;female;3
Armenia;1997;female;1
Armenia;1997;male;1
Armenia;1998;male;2
Armenia;1998;male;16
Armenia;1998;male;2
Armenia;1998;male;6
Armenia;1998;female;6
Armenia;1998;female;1
Armenia;1998;female;9
Armenia;1998;male;4
Armenia;1998;female;1
Armenia;1998;female;1
Armenia;1999;male;15
Armenia;1999;female;3
Armenia;1999;male;22
Armenia;1999;female;9
Armenia;1999;male;6
Armenia;1999;male;6
Armenia;1999;female;4
Armenia;1999;female;2
Armenia;2000;male;4
Armenia;2000;female;5
Armenia;2000;male;14
Armenia;2000;male;18
Armenia;2000;male;5
Armenia;2000;male;6
Armenia;2000;female;4
Armenia;2000;female;4
Armenia;2000;female;1
Armenia;2001;male;17
Armenia;2001;male;3
Armenia;2001;female;4
Armenia;2001;male;19
Armenia;2001;female;4
Armenia;2001;male;4
Armenia;2001;male;3
Armenia;2001;male;2
Armenia;2001;female;3
Armenia;2001;female;1
Armenia;2002;male;3
Armenia;2002;male;19
Armenia;2002;male;12
Armenia;2002;male;22
Armenia;2002;female;1
Armenia;2002;male;5
Armenia;2002;female;6
Armenia;2002;female;3
Armenia;2002;female;1
Armenia;2002;male;1
Armenia;2002;female;1
Armenia;2003;male;3
Armenia;2003;male;14
Armenia;2003;male;21
Armenia;2003;female;3
Armenia;2003;male;1
Armenia;2003;female;3
Armenia;2003;female;3
Armenia;2003;male;1
Armenia;2003;male;1
Armenia;2006;male;6
Armenia;2006;male;21
Armenia;2006;male;17
Armenia;2006;male;1
Armenia;2006;female;8
Armenia;2006;male;6
Armenia;2006;female;2
Armenia;2006;female;5
Armenia;2006;female;2
Armenia;2006;male;1
Armenia;2007;male;7
Armenia;2007;male;13
Armenia;2007;male;19
Armenia;2007;female;8
Armenia;2007;male;7
Armenia;2007;male;4
Armenia;2007;female;8
Armenia;2007;female;1
Armenia;2007;female;3
Armenia;2007;male;1
Armenia;2008;male;7
Armenia;2008;male;18
Armenia;2008;male;11
Armenia;2008;female;1
Armenia;2008;female;5
Armenia;2008;male;4
Armenia;2008;male;3
Armenia;2008;female;2
Armenia;2008;female;1
Armenia;2008;male;1
Armenia;2008;female;1
Armenia;2009;male;8
Armenia;2009;male;11
Armenia;2009;male;17
Armenia;2009;male;5
Armenia;2009;female;1
Armenia;2009;female;3
Armenia;2009;male;2
Armenia;2009;female;2
Armenia;2009;female;3
Armenia;2009;female;1
Armenia;2010;male;6
Armenia;2010;male;13
Armenia;2010;male;1
Armenia;2010;male;15
Armenia;2010;male;8
Armenia;2010;female;7
Armenia;2010;female;2
Armenia;2010;female;2
Armenia;2010;female;5
Armenia;2010;male;2
Armenia;2010;female;2
Armenia;2010;female;1
Armenia;2011;female;6
Armenia;2011;male;23
Armenia;2011;male;11
Armenia;2011;male;8
Armenia;2011;male;2
Armenia;2011;male;7
Armenia;2011;female;4
Armenia;2011;female;3
Armenia;2011;female;3
Armenia;2012;male;5
Armenia;2012;male;26
Armenia;2012;male;11
Armenia;2012;male;11
Armenia;2012;female;3
Armenia;2012;male;5
Armenia;2012;female;7
Armenia;2012;female;4
Armenia;2012;female;4
Armenia;2012;female;2
Armenia;2012;male;1
Armenia;2013;male;7
Armenia;2013;female;6
Armenia;2013;male;11
Armenia;2013;female;11
Armenia;2013;male;9
Armenia;2013;male;13
Armenia;2013;female;6
Armenia;2013;male;2
Armenia;2013;male;1
Armenia;2013;female;1
Armenia;2014;male;9
Armenia;2014;female;6
Armenia;2014;male;12
Armenia;2014;male;13
Armenia;2014;male;6
Armenia;2014;female;4
Armenia;2014;male;3
Armenia;2014;female;2
Armenia;2014;female;1
Armenia;2014;female;2
Armenia;2015;male;12
Armenia;2015;male;16
Armenia;2015;female;5
Armenia;2015;male;15
Armenia;2015;male;1
Armenia;2015;female;5
Armenia;2015;female;3
Armenia;2015;female;4
Armenia;2015;male;2
Armenia;2015;female;2
Armenia;2016;male;12
Armenia;2016;male;16
Armenia;2016;male;16
Armenia;2016;male;5
Armenia;2016;female;2
Armenia;2016;female;6
Armenia;2016;male;4
Armenia;2016;female;3
Armenia;2016;female;2
Armenia;2016;female;1
Aruba;1995;male;2
Aruba;1995;male;4
Aruba;1995;male;1
Aruba;1995;male;1
Aruba;1999;male;4
Aruba;1999;male;2
Aruba;1999;male;3
Aruba;2000;female;2
Aruba;2000;male;1
Aruba;2000;male;3
Aruba;2000;male;2
Aruba;2000;female;2
Aruba;2001;male;4
Aruba;2002;male;4
Aruba;2002;male;2
Aruba;2002;male;1
Aruba;2002;male;2
Aruba;2003;male;2
Aruba;2004;male;1
Aruba;2004;male;3
Aruba;2004;male;1
Aruba;2004;female;1
Aruba;2004;male;2
Aruba;2005;male;2
Aruba;2005;male;3
Aruba;2005;female;1
Aruba;2005;female;1
Aruba;2005;female;1
Aruba;2005;female;2
Aruba;2006;male;4
Aruba;2006;male;3
Aruba;2006;female;2
Aruba;2007;male;2
Aruba;2007;male;3
Aruba;2007;male;1
Aruba;2007;male;1
Aruba;2007;female;1
Aruba;2008;male;1
Aruba;2008;male;1
Aruba;2008;male;1
Aruba;2008;female;1
Aruba;2009;male;1
Aruba;2009;male;2
Aruba;2009;male;1
Aruba;2010;male;4
Aruba;2010;male;2
Aruba;2010;female;1
Aruba;2011;male;3
Aruba;2011;male;3
Aruba;2011;female;1
Aruba;2011;male;1
Aruba;2011;female;1
Australia;1985;male;67
Australia;1985;male;357
Australia;1985;male;282
Australia;1985;male;315
Australia;1985;male;411
Australia;1985;female;36
Australia;1985;female;19
Australia;1985;female;143
Australia;1985;female;69
Australia;1985;female;64
Australia;1985;female;4
Australia;1985;male;4
Australia;1986;male;89
Australia;1986;male;367
Australia;1986;male;324
Australia;1986;male;487
Australia;1986;male;296
Australia;1986;female;169
Australia;1986;female;15
Australia;1986;female;88
Australia;1986;female;77
Australia;1986;female;23
Australia;1986;male;18
Australia;1986;female;1
Australia;1987;male;111
Australia;1987;male;374
Australia;1987;male;554
Australia;1987;male;328
Australia;1987;male;354
Australia;1987;female;38
Australia;1987;female;11
Australia;1987;female;145
Australia;1987;female;73
Australia;1987;female;7
Australia;1987;male;6
Australia;1987;female;1
Australia;1988;male;93
Australia;1988;male;398
Australia;1988;male;366
Australia;1988;male;317
Australia;1988;male;532
Australia;1988;female;4
Australia;1988;female;16
Australia;1988;female;157
Australia;1988;female;13
Australia;1988;female;53
Australia;1988;male;6
Australia;1988;female;1
Australia;1989;male;91
Australia;1989;male;46
Australia;1989;male;353
Australia;1989;male;39
Australia;1989;male;475
Australia;1989;female;124
Australia;1989;female;31
Australia;1989;female;87
Australia;1989;female;13
Australia;1989;female;51
Australia;1989;male;8
Australia;1989;female;1
Australia;1990;male;87
Australia;1990;male;418
Australia;1990;male;374
Australia;1990;male;325
Australia;1990;male;549
Australia;1990;female;37
Australia;1990;female;19
Australia;1990;female;98
Australia;1990;female;136
Australia;1990;female;64
Australia;1990;male;5
Australia;1991;male;114
Australia;1991;male;427
Australia;1991;male;631
Australia;1991;male;354
Australia;1991;male;273
Australia;1991;female;39
Australia;1991;female;169
Australia;1991;female;96
Australia;1991;female;91
Australia;1991;female;84
Australia;1991;male;7
Australia;1991;female;3
Australia;1992;male;87
Australia;1992;male;47
Australia;1992;male;384
Australia;1992;male;325
Australia;1992;male;579
Australia;1992;female;45
Australia;1992;female;12
Australia;1992;female;96
Australia;1992;female;144
Australia;1992;female;76
Australia;1992;male;4
Australia;1992;female;2
Australia;1993;male;95
Australia;1993;male;392
Australia;1993;male;332
Australia;1993;male;293
Australia;1993;male;523
Australia;1993;female;161
Australia;1993;female;34
Australia;1993;female;76
Australia;1993;female;75
Australia;1993;female;5
Australia;1993;male;5
Australia;1993;female;2
Australia;1994;male;1
Australia;1994;male;426
Australia;1994;male;377
Australia;1994;male;648
Australia;1994;male;311
Australia;1994;female;162
Australia;1994;female;33
Australia;1994;female;88
Australia;1994;female;79
Australia;1994;female;55
Australia;1994;male;3
Australia;1994;female;1
Australia;1995;male;44
Australia;1995;male;88
Australia;1995;male;587
Australia;1995;male;318
Australia;1995;male;274
Australia;1995;female;18
Australia;1995;female;91
Australia;1995;female;81
Australia;1995;female;79
Australia;1995;female;28
Australia;1995;male;4
Australia;1996;male;122
Australia;1996;male;471
Australia;1996;male;366
Australia;1996;male;669
Australia;1996;male;33
Australia;1996;female;182
Australia;1996;female;98
Australia;1996;female;86
Australia;1996;female;28
Australia;1996;female;59
Australia;1996;male;8
Australia;1996;female;7
Australia;1997;male;529
Australia;1997;male;123
Australia;1997;male;48
Australia;1997;male;717
Australia;1997;male;35
Australia;1997;female;219
Australia;1997;female;19
Australia;1997;female;4
Australia;1997;female;86
Australia;1997;female;96
Australia;1997;female;7
Australia;1997;male;7
Australia;1998;male;579
Australia;1998;male;773
Australia;1998;male;353
Australia;1998;male;96
Australia;1998;male;31
Australia;1998;female;19
Australia;1998;female;22
Australia;1998;female;4
Australia;1998;female;81
Australia;1998;female;9
Australia;1998;male;6
Australia;1998;female;2
Australia;1999;male;511
Australia;1999;male;119
Australia;1999;male;741
Australia;1999;male;33
Australia;1999;male;315
Australia;1999;female;117
Australia;1999;female;21
Australia;1999;female;7
Australia;1999;female;74
Australia;1999;female;21
Australia;1999;male;1
Australia;1999;female;6
Australia;2000;male;466
Australia;2000;male;115
Australia;2000;male;745
Australia;2000;male;271
Australia;2000;male;281
Australia;2000;female;16
Australia;2000;female;2
Australia;2000;female;78
Australia;2000;female;87
Australia;2000;female;33
Australia;2000;male;8
Australia;2000;female;1
Australia;2001;male;489
Australia;2001;male;752
Australia;2001;male;115
Australia;2001;male;28
Australia;2001;male;296
Australia;2001;female;226
Australia;2001;female;19
Australia;2001;female;39
Australia;2001;female;81
Australia;2001;female;63
Australia;2001;female;4
Australia;2001;male;4
Australia;2002;male;452
Australia;2002;male;744
Australia;2002;male;11
Australia;2002;male;246
Australia;2002;male;266
Australia;2002;female;213
Australia;2002;female;13
Australia;2002;female;92
Australia;2002;female;36
Australia;2002;female;58
Australia;2002;female;4
Australia;2002;male;4
Australia;2003;male;394
Australia;2003;male;654
Australia;2003;male;13
Australia;2003;male;243
Australia;2003;male;284
Australia;2003;female;16
Australia;2003;female;195
Australia;2003;female;91
Australia;2003;female;48
Australia;2003;female;24
Australia;2003;female;7
Australia;2003;male;7
Australia;2004;male;386
Australia;2004;male;126
Australia;2004;male;655
Australia;2004;male;293
Australia;2004;male;25
Australia;2004;female;183
Australia;2004;female;82
Australia;2004;female;4
Australia;2004;female;67
Australia;2004;female;69
Australia;2004;male;7
Australia;2004;female;1
Australia;2006;male;686
Australia;2006;male;114
Australia;2006;male;277
Australia;2006;male;39
Australia;2006;male;23
Australia;2006;female;195
Australia;2006;female;115
Australia;2006;female;41
Australia;2006;female;74
Australia;2006;female;68
Australia;2006;male;7
Australia;2006;female;1
Australia;2007;male;341
Australia;2007;male;687
Australia;2007;male;124
Australia;2007;male;35
Australia;2007;male;234
Australia;2007;female;219
Australia;2007;female;118
Australia;2007;female;9
Australia;2007;female;66
Australia;2007;female;33
Australia;2007;male;8
Australia;2007;female;4
Australia;2008;male;765
Australia;2008;male;354
Australia;2008;male;121
Australia;2008;male;357
Australia;2008;male;228
Australia;2008;female;231
Australia;2008;female;9
Australia;2008;female;97
Australia;2008;female;6
Australia;2008;female;27
Australia;2008;male;8
Australia;2008;female;3
Australia;2009;male;755
Australia;2009;male;135
Australia;2009;male;336
Australia;2009;male;349
Australia;2009;male;21
Australia;2009;female;221
Australia;2009;female;13
Australia;2009;female;116
Australia;2009;female;43
Australia;2009;female;66
Australia;2009;female;3
Australia;2010;male;816
Australia;2010;male;151
Australia;2010;male;311
Australia;2010;male;36
Australia;2010;male;222
Australia;2010;female;228
Australia;2010;female;94
Australia;2010;female;43
Australia;2010;female;8
Australia;2010;female;14
Australia;2010;male;7
Australia;2010;female;4
Australia;2011;male;146
Australia;2011;male;74
Australia;2011;male;347
Australia;2011;male;366
Australia;2011;male;242
Australia;2011;female;23
Australia;2011;female;93
Australia;2011;female;118
Australia;2011;female;45
Australia;2011;female;85
Australia;2011;female;9
Australia;2011;male;7
Australia;2012;male;158
